t,x1,y1,x2,y2,x3,y3
6.76000,-1.000000,2.028000,1.000000,-2.028000,-2.028000,0.500000
6.77000,-1.000000,2.031000,1.000000,-2.031000,-2.031000,0.500000
6.78000,-1.000000,2.034000,1.000000,-2.034000,-2.034000,0.500000
6.79000,-1.000000,2.037000,1.000000,-2.037000,-2.037000,0.500000
6.80000,-1.000000,2.040000,1.000000,-2.040000,-2.040000,0.500000
6.81000,-1.000000,2.043000,1.000000,-2.043000,-2.043000,0.500000
6.82000,-1.000000,2.046000,1.000000,-2.046000,-2.046000,0.500000
6.83000,-1.000000,2.049000,1.000000,-2.049000,-2.049000,0.500000
6.84000,-1.000000,2.052000,1.000000,-2.052000,-2.052000,0.500000
6.85000,-1.000000,2.055000,1.000000,-2.055000,-2.055000,0.500000
6.86000,-1.000000,2.058000,1.000000,-2.058000,-2.058000,0.500000
6.87000,-1.000000,2.061000,1.000000,-2.061000,-2.061000,0.500000
6.88000,-1.000000,2.064000,1.000000,-2.064000,-2.064000,0.500000
6.89000,-1.000000,2.067000,1.000000,-2.067000,-2.067000,0.500000
6.90000,-1.000000,2.070000,1.000000,-2.070000,-2.070000,0.500000
6.91000,-1.000000,2.073000,1.000000,-2.073000,-2.073000,0.500000
6.92000,-1.000000,2.076000,1.000000,-2.076000,-2.076000,0.500000
6.93000,-1.000000,2.079000,1.000000,-2.079000,-2.079000,0.500000
6.94000,-1.000000,2.082000,1.000000,-2.082000,-2.082000,0.500000
6.95000,-1.000000,2.085000,1.000000,-2.085000,-2.085000,0.500000
6.96000,-1.000000,2.088000,1.000000,-2.088000,-2.088000,0.500000
6.97000,-1.000000,2.091000,1.000000,-2.091000,-2.091000,0.500000
6.98000,-1.000000,2.094000,1.000000,-2.094000,-2.094000,0.500000
6.99000,-1.000000,2.097000,1.000000,-2.097000,-2.097000,0.500000
7.00000,-1.000000,2.100000,1.000000,-2.100000,-2.100000,0.500000
7.01000,-1.000000,2.103000,1.000000,-2.103000,-2.103000,0.500000
7.02000,-1.000000,2.106000,1.000000,-2.106000,-2.106000,0.500000
7.03000,-1.000000,2.109000,1.000000,-2.109000,-2.109000,0.500000
7.04000,-1.000000,2.112000,1.000000,-2.112000,-2.112000,0.500000
7.05000,-1.000000,2.115000,1.000000,-2.115000,-2.115000,0.500000
7.06000,-1.000000,2.118000,1.000000,-2.118000,-2.118000,0.500000
7.07000,-1.000000,2.121000,1.000000,-2.121000,-2.121000,0.500000
7.08000,-1.000000,2.124000,1.000000,-2.124000,-2.124000,0.500000
7.09000,-1.000000,2.127000,1.000000,-2.127000,-2.127000,0.500000
7.10000,-1.000000,2.130000,1.000000,-2.130000,-2.130000,0.500000
7.11000,-1.000000,2.133000,1.000000,-2.133000,-2.133000,0.500000
7.12000,-1.000000,2.136000,1.000000,-2.136000,-2.136000,0.500000
7.13000,-1.000000,2.139000,1.000000,-2.139000,-2.139000,0.500000
